SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
SXM Sint Maarten (Dutch part) ,Sint Maarten (Dutch part),1.00304566871495000,est,Americas,3.5200000000000000,est,,,SXM,,,,,,,
SYC Seychelles ,Seychelles,1.85938883074535000,-,Africa,3.7900000000000000,est,,,SYC,,,,,,,
SYR Syrian Arab Republic ,Syrian Arab Republic,2.57526049680317000,est,Asia,4.4700000000000000,est,,,SYR,,,,,,,
TCA Turks and Caicos Islands ,Turks and Caicos Islands,0.93473290863003500,-,Americas,3.5200000000000000,est,,,TCA,,,,,,,
TCD Chad ,Chad,2.70237734914943000,-,Africa,4.0000000000000000,,,,TCD,,,,,,,
TGO Togo ,Togo,2.61152467089072000,-,Africa,2.0000000000000000,est,,,TGO,,,,,,,
THA Thailand ,Thailand,2.61925727991692000,-,Asia,5.0000000000000000,,,,THA,,,,,,,
TJK Tajikistan ,Tajikistan,4.17334800551519000,-,Asia,4.4700000000000000,est,,,TJK,,,,,,,
TKM Turkmenistan ,Turkmenistan,2.77093606426033000,-,Asia,4.4700000000000000,est,,,TKM,,,,,,,
TLS Timor-Leste ,Timor-Leste,3.76237161540844000,-,Asia,4.4700000000000000,est,,,TLS,,,,,,,
TON Tonga ,Tonga,1.47102174317472000,-,Oceania,4.0500000000000000,est,,,TON,,,,,,,
TTO Trinidad and Tobago ,Trinidad and Tobago,1.86894019616355000,-,Americas,4.0000000000000000,est,,,TTO,,,,,,,
TUN Tunisia ,Tunisia,3.62662552660372000,-,Africa,4.0000000000000000,est,,,TUN,,,,,,,
TUR Turkey ,Turkey,2.99555295262108000,-,Asia,5.0000000000000000,,,,TUR,,,,,,,
TUV Tuvalu ,Tuvalu,1.09426667819879000,-,Oceania,4.0500000000000000,est,,,TUV,,,,,,,
"TZA Tanzania, United Republic of ",Tanzania,3.05398622361057000,-,Africa,4.0000000000000000,,,,TZA,,,,,,,
UGA Uganda ,Uganda,3.17073371129007000,-,Africa,4.0000000000000000,,,,UGA,,,,,,,
UKR Ukraine ,Ukraine,2.98835005343827000,-,Europe,5.0000000000000000,,,,UKR,,,,,,,
URY Uruguay ,Uruguay,1.36429090407299000,-,Americas,1.0000000000000000,,,,URY,,,,,,,
USA United States ,United States,1.00000000000000000,-,Americas,4.0000000000000000,,,,USA,,,,,,,
UZB Uzbekistan ,Uzbekistan,5.58353540583748000,-,Asia,4.4700000000000000,est,,,UZB,,,,,,,
VCT Saint Vincent and the Grenadines ,St. Vincent and the Grenadines,1.66924415185691000,-,Americas,3.5200000000000000,est,,,VCT,,,,,,,
"VEN Venezuela, Bolivarian Republic of ","Venezuela, RB",1.83434611496898000,est,Americas,4.0000000000000000,,,,VEN,,,,,,,
"VGB Virgin Islands, British ",British Virgin Islands,1.00304566871495000,est,Americas,3.5200000000000000,est,,,VGB,,,,,,,
"VIR Virgin Islands, U.S. ",Virgin Islands (U.S.),1.00304566871495000,est,Americas,3.5200000000000000,est,,,VIR,,,,,,,
VNM Viet Nam ,Vietnam,2.90182466524532000,-,Asia,5.0000000000000000,est,,,VNM,,,,,,,
VUT Vanuatu ,Vanuatu,1.03113308124574000,-,Oceania,4.0500000000000000,est,,,VUT,,,,,,,
WSM Samoa ,Samoa,1.54982118134760000,-,Oceania,4.0500000000000000,est,,,WSM,,,,,,,
XKX Kosovo,Kosovo,2.63775782301912000,-,Europe,2.5500000000000000,est,,,XKX,,,,,,,
